Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
Language Name En	Default	English	German	Japanese	Polish	Spanish	French	ChineseSimplified	Italian	Korean	Portuguese	Russian	Ukrainian	Catalan	ChineseTraditional	Czech	Danish	Dutch	Estonian	Finnish	Greek	Hungarian	Norwegian	PortugueseBrazilian	Romanian	Slovak	SpanishLatin	Swedish	Turkish
AbilityDef&APM_Absorb.label	Recycle Biomass							回收生物质				Переработка биомассы	Переробка біомаси		回收生物質														
AbilityDef&APM_Absorb.description	Grind up a fresh organic corpse or ingestible material, and slowly process it into chemfuel.							磨碎新鲜的有机尸体或可摄入材料，将其缓慢加工为化学燃料。				Перемалывает свежий органический труп или съедобный материал, постепенно перерабатывая его в химическое топливо.	Перемелює свіжий органічний труп або їстівний матеріал, поступово переробляючи його на хімічне паливо.		磨碎新鮮的有機屍體或可攝入材料，將其緩慢加工為化學燃料。														
AbilityDef&APM_SwitchToPowerPlantMode.label	Power Plant Mode							发电厂模式				Режим электростанции	режим електростанції		發電廠模式														
AbilityDef&APM_SwitchToPowerPlantMode.description	Switch to power plant mode, trade mobility and shield to power local power grid.							切换至发电厂模式，将不能移动。				Переключение в режим электростанции, пожертвовав мобильностью и щитом ради питания местной электросети.	Перемкнутися в режим електростанції, пожертвувавши рухливістю й щитом заради живлення місцевої енергомережі.		切換至發電廠模式，將無法移動。														
AbilityDef&APM_SunRay.label	Sun Ray							太阳光线				Солнечный луч	сонячний промінь		太陽光線														
AbilityDef&APM_SunRay.description	The gazer blasts a devastating beam from itself, remaining stationary to keep the beam on target. Anything within reach of the beam takes heavy damage.							凝视者从自身射出毁灭性的光束，并原地不动以将光束锁定在目标身上。光束所及范围内的一切都会受到重伤。				Созерцатель испускает разрушительный луч, оставаясь неподвижным для удержания цели на мушке. Все, до чего достает луч, получает огромный урон.	Спостерігач випускає з себе спустошливий промінь, залишаючись нерухомим, щоб утримувати промінь на цілі. Все, до чого дістає промінь, зазнає величезного урону.		凝視者從自身射出毀滅性的光束，並原地不動以將光束鎖定在目標身上。光束所及範圍內的一切都會受到重傷。														
AbilityDef&APM_PulseWave.label	pulse wave							脉冲波				Импульсная волна	імпульсна хвиля		脈衝波														
AbilityDef&APM_PulseWave.description	Unleash a blinding acoustic pulse that expands out from the mech, stunning and flash-blinding living pawns caught in the wave.							从机甲向外释放一圈致盲的声脉冲，使被波及的活体小人陷入眩晕，并被闪光致盲。				Высвобождает ослепляющий акустический импульс, расходящийся от меха и оглушающий вместе с ослеплением всех попавших в зону действия существ из крови и плоти.	Вивільняє засліплюючий акустичний імпульс, що розходиться від механоїда, оглушуючи та засліплюючи спалахом живих пішаків у зоні дії хвилі.		從機甲向外釋放一圈致盲的聲脈衝，使被波及的活體小人陷入眩暈，並被閃光致盲。														
ThingDef&ApexMechanoids_DashingPawn.label	dashing							冲锋				рывок	стрімкий		衝鋒														
AbilityDef&APM_HookPawn.label	Grappling Hook							抓钩				Крюк-кошка	Гак-кішка		抓鉤														
AbilityDef&APM_HookPawn.description	The Terminus launches its grappling hook, either pulling a foe towards it or itself towards a foe depending on the bodysize of the target.							终焉射出抓钩，根据目标体型的不同，要么将敌人拉向自己，要么将自身拉向敌人。				«Терминус» выпускает крюк-кошку: в зависимости от размера цели, либо притягивает врага к себе, либо притягивается к врагу сам.	Термінус випускає свій гак-кішку: залежно від розміру цілі він або притягує ворога до себе, або сам притягується до ворога.		終焉射出抓鉤，根據目標體型的不同，要麼將敵人拉向自己，要麼將自身拉向敵人。														
